shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3677,46.1946017683765,6.140940034353161,11,0
3677,46.19256237936747,6.138056300230983,12,0
3677,46.19027900604974,6.133612424998611,13,0
3677,46.18883774253454,6.130772981054351,14,0
3677,46.18755471823786,6.126895136430671,15,0
3677,46.18395906885019,6.121705440641064,16,0
3677,46.18166491704621,6.120770772611805,17,0
3676,46.190426370607774,6.1340440718611861,1,0
3676,46.18424045996499,6.121952239056198,2,0
3676,46.18756388674196,6.127627832710648,3,0
3676,46.18902548399598,6.131229344934368,4,0
3676,46.19047685577055,6.134080952521848,5,0
3676,46.19275145307322,6.138496522687998,6,0
3676,46.19481011583515,6.141224713052932,7,0
3676,46.19860392589742,6.142020884293977,8,0
3676,46.20084282437978,6.140553060674452,9,0
3676,46.20397120616349,6.139935752724377,10,0
3676,46.20759030690903,6.141490236352567,11,0
3676,46.21044519427678,6.143656186085432,12,0
3676,46.21339441544949,6.145571809891383,13,0
3676,46.2170552243709,6.147968545157289,14,0
3676,46.22011356808694,6.145388687789975,15,0
3676,46.22107909327441,6.141241649275477,16,0
3676,46.22218171293308,6.139053684180333,17,0
5401,46.19433397981612,6.231374332929987,1,0
5401,46.19241787481586,6.222904794278334,2,0
5401,46.19136158933456,6.216385460304442,3,0
5401,46.19165598004766,6.21132470086881,4,0
5401,46.19242058494694,6.206020799981544,5,0
5401,46.1932434488844,6.200880614536097,6,0
5401,46.1941009855915,6.195918803637007,7,0
5401,46.19561662082734,6.192038232370624,8,0
5401,46.19836192987149,6.185360104492562,9,0
5401,46.19889773962743,6.180152283113587,10,0
5401,46.19965532066944,6.17445469275743,11,0
5401,46.200035504843,6.167722543315395,12,0
5401,46.20010142856206,6.164047805273204,13,0
5401,46.2006762901388,6.158281952467868,14,0
5401,46.20112671401236,6.155934838914062,15,0
5401,46.20188478852751,6.15230754148127,16,0
5401,46.20319418519462,6.146917679315097,17,0
5401,46.20389777471222,6.143836847833755,18,0
5401,46.20069761160391,6.143344085119896,19,0
5401,46.19829360992781,6.141958968979869,20,0
5401,46.1946017683765,6.140940034353161,21,0
