from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8501000:0:1","8593011","2","240"
"8501000:0:2","8593011","2","240"
"8501006:0:1","8593180","2","420"
"8501006:0:1","8595029","2","180"
"8501006:0:2","8593180","2","420"
"8501006:0:2","8595029","2","180"
"8501007:0:1","8587924","2","540"
"8501007:0:1","8593155","2","360"
"8501007:0:1","8593169","2","540"
"8501007:0:2","8587924","2","540"
"8501007:0:2","8593155","2","360"
"8501007:0:2","8593169","2","540"
"8501008:0:6E-H","8587057","2","300"
"8501008:0:6E-H","8592850","2","360"
"8501026:0:4A-D","8592775","2","300"
"8501026:0:1A-D","8592775","2","300"
"8501008:0:4A-D","8587057","2","300"
"8501008:0:4A-D","8592850","2","360"
"8501008:0:6A-D","8587057","2","300"
"8501008:0:6A-D","8592850","2","360"
"1401639","8774543","2","240"
"8588813","8587059","2","240"
